Scenario,Seed,NumDistractorLabels,CandidateSetSize,GroupIndex,SearchPhase,GroupSize,GroupFraction(%),RankStart,RankEnd,FeatureIndices0,FeatureIndices1,GroupWeightNorm,GapLowerBound,GapUpperBound,GapEstimate,Epsilon,EpsilonLower,EpsilonUpper,GapLower/Epsilon,GapUpper/Epsilon,GapLower/EpsilonUpper,GapUpper/EpsilonLower,RhoLower,RhoUpper,RhoEstimate,Status,FirstCertifiedNecessaryPrefix,ExactRefit,CertificateConverged,OptimizationGapRatio,SumSingletonLower,SumSingletonUpper,CertifiedSynergyLower,CertifiedSynergy,ElapsedSeconds
collective,100,0,2,1,Exponential,1,5.0,1,1,0,1,0.2647481858730316,1.4795862921038617e-05,1.4795883078525857e-05,1.4795879670614735e-05,0.0012398329669220875,0.0012398329669016613,0.0012398329669561668,0.01193375504264068,0.011933771300868826,0.011933755042312656,0.011933771301065434,0.00011933755042312658,0.00011933771301065434,0.00011933768552183147,NonNecessary,False,True,True,1.3509542429265138e-08,1.4795862921038617e-05,1.4795883078525857e-05,-2.015748723977796e-11,False,0.03706230001989752
collective,100,0,2,2,Exponential,2,10.0,1,2,0;1,1;2,0.374410480260849,0.12325174887849094,0.12325174888289886,0.12325174887949095,0.0012398329669220875,0.0012398329669016613,0.0012398329669561668,99.40996260525812,99.40996260881337,99.40996260252564,99.40996261045115,0.9940996260252565,0.9940996261045113,0.9940996260606467,JointlyNecessary,True,True,True,8.065602598731682e-10,2.9591725842077234e-05,2.9591766157051713e-05,0.12322215711233389,True,0.022814799973275512
collective,101,0,2,1,Exponential,1,5.0,1,1,0,1,0.2647109925746918,1.4868244611729656e-05,1.4868256832334607e-05,1.4868253908493535e-05,0.0012399225535875877,0.0012399225535775877,0.001239922553616826,0.011991268784255861,0.011991278640198005,0.011991268783973098,0.011991278640294716,0.00011991268783973097,0.00011991278640294716,0.00011991276282114379,NonNecessary,False,True,True,7.497858532912021e-09,1.4868244611729656e-05,1.4868256832334607e-05,-1.2220604951636706e-11,False,0.034978499985300004
collective,101,0,2,2,Exponential,2,10.0,1,2,0;1,1;2,0.3743578791618347,0.12283318598967974,0.12283318599360359,0.12283318599067974,0.0012399225535875877,0.0012399225535775877,0.001239922553616826,99.06520825375311,99.06520825691771,99.06520825141709,99.06520825771668,0.9906520825141708,0.9906520825771667,0.9906520825455963,JointlyNecessary,True,True,True,8.065019844236266e-10,2.973648922345931e-05,2.9736513664669215e-05,0.12280344947601507,True,0.02333689999068156
collective,102,0,2,1,Exponential,1,5.0,1,1,0,1,0.26506611704826355,1.4866562824324137e-05,1.4866575568352595e-05,1.4866572196245561e-05,0.0012397023825242346,0.0012397023825142346,0.0012397023825579557,0.01199204182704998,0.01199205210695961,0.011992041826723787,0.011992052107056343,0.00011992041826723787,0.00011992052107056344,0.00011992049386865592,NonNecessary,False,True,True,7.55981557866089e-09,1.4866562824324137e-05,1.4866575568352595e-05,-1.274402845825493e-11,False,0.03084379999199882
collective,102,0,2,2,Exponential,2,10.0,1,2,0;1,1;2,0.37486010789871216,0.12309278743091664,0.12309278743751159,0.12309278743413948,0.0012397023825242346,0.0012397023825142346,0.0012397023825579557,99.29220848981497,99.29220849513474,99.29220848711412,99.29220849593568,0.9929220848711413,0.992922084959357,0.9929220849241466,JointlyNecessary,True,True,True,2.5996824679031967e-09,2.9733125648648273e-05,2.973315113670519e-05,0.12306305427977994,True,0.03407550003612414
collective,103,0,2,1,Exponential,1,5.0,1,1,0,1,0.26433464884757996,1.480549159124287e-05,1.4805506899704252e-05,1.4805502950548293e-05,0.0012404894852132591,0.001240489485203259,0.0012404894852527507,0.01193520119898282,0.011935213539644763,0.011935201198602856,0.011935213539740976,0.00011935201198602856,0.00011935213539740977,0.00011935210356098263,NonNecessary,False,True,True,9.15711537384448e-09,1.480549159124287e-05,1.4805506899704252e-05,-1.5308461382283517e-11,False,0.031715799996163696
collective,103,0,2,2,Exponential,2,10.0,1,2,0;1,1;2,0.37382563948631287,0.12296232482640211,0.1229623248335384,0.12296232482958924,0.0012404894852132591,0.001240489485203259,0.0012404894852527507,99.12403635187847,99.12403635763128,99.12403634872281,99.12403635843035,0.9912403634872281,0.9912403635843036,0.9912403635444773,JointlyNecessary,True,True,True,2.5692565002327347e-09,2.961098318248574e-05,2.9611013799408503e-05,0.1229327138126027,True,0.024204199959058315
collective,104,0,2,1,Exponential,1,5.0,1,1,0,1,0.2648492157459259,1.4860718336758135e-05,1.4860740389521383e-05,1.4860727301277583e-05,0.0012394701640619232,0.0012394701640519232,0.0012394701641928057,0.01198957326093063,0.011989591053019449,0.011989573259664585,0.01198959105311618,0.00011989573259664585,0.00011989591053116181,0.00011989580493472169,NonNecessary,False,True,True,7.23254150039813e-09,1.4860718336758135e-05,1.4860740389521383e-05,-2.2052763247785122e-11,False,0.03744909999659285
collective,104,0,2,2,Exponential,2,10.0,1,2,0;1,1;2,0.3745533227920532,0.12300302329235795,0.1230030233077366,0.12300302329464836,0.0012394701640619232,0.0012394701640519232,0.0012394701641928057,99.2383898046075,99.23838981701495,99.23838979412837,99.2383898178156,0.9923838979412838,0.992383898178156,0.992383898064554,JointlyNecessary,True,True,True,1.8479042873820243e-09,2.972143667351627e-05,2.9721480779042766e-05,0.12297330181157891,True,0.02635030000237748
